standardId,code,group,heroCode,heroKey,heroName,slot,skillName,level,activeLevel,cooldown,cost,exCost,range,length,width,angle,overrideIconName,sourceFile,sourceUpdatedAt,duplicateSourceFiles,duplicateCount
001-jackie-normal-attack-1001000-1-1001001,1001001,1001000,1,Jackie,杰琪,,재키 기본 공격,1,0,0,0,0,0,0,0,0,,Skill.json,2026-05-21T12:00:17+09:00,Skill.json|Skill_Indicator.json,2
001-jackie-combo-normal-attack-1001010-1-1001011,1001011,1001010,1,Jackie,杰琪,,재키 기본 공격 - 콤보,1,0,0,0,0,0,0,0,0,,Skill.json,2026-05-21T12:00:17+09:00,Skill.json,1
001-jackie-p-1001100-1-1001101,1001101,1001100,1,Jackie,杰琪,P,鲜血盛宴,1,1,0,0,0,0,0,0,0,,Skill.json,2026-05-21T12:00:17+09:00,Skill.json|Skill_Indicator.json,2
001-jackie-p-1001100-2-1001102,1001102,1001100,1,Jackie,杰琪,P,鲜血盛宴,2,5,0,0,0,0,0,0,0,,Skill.json,2026-05-21T12:00:17+09:00,Skill.json|Skill_Indicator.json,2
001-jackie-p-1001100-3-1001103,1001103,1001100,1,Jackie,杰琪,P,鲜血盛宴,3,9,0,0,0,0,0,0,0,,Skill.json,2026-05-21T12:00:17+09:00,Skill.json|Skill_Indicator.json,2
001-jackie-q-1001200-1-1001201,1001201,1001200,1,Jackie,杰琪,Q,连斩,1,1,12,0,0,2.5,4,5,180,,Skill.json,2026-05-21T12:00:17+09:00,Skill.json|Skill_Indicator.json,2
001-jackie-q-1001200-2-1001202,1001202,1001200,1,Jackie,杰琪,Q,连斩,2,3,11,0,0,2.5,4,5,180,,Skill.json,2026-05-21T12:00:17+09:00,Skill.json|Skill_Indicator.json,2
001-jackie-q-1001200-3-1001203,1001203,1001200,1,Jackie,杰琪,Q,连斩,3,5,10,0,0,2.5,4,5,180,,Skill.json,2026-05-21T12:00:17+09:00,Skill.json|Skill_Indicator.json,2
001-jackie-q-1001200-4-1001204,1001204,1001200,1,Jackie,杰琪,Q,连斩,4,7,9,0,0,2.5,4,5,180,,Skill.json,2026-05-21T12:00:17+09:00,Skill.json|Skill_Indicator.json,2
001-jackie-q-1001200-5-1001205,1001205,1001200,1,Jackie,杰琪,Q,连斩,5,9,8,0,0,2.5,4,5,180,,Skill.json,2026-05-21T12:00:17+09:00,Skill.json|Skill_Indicator.json,2
001-jackie-active-1001210-1-1001211,1001211,1001210,1,Jackie,杰琪,,连斩,1,1,0,0,0,2.5,4,5,180,,Skill.json,2026-05-21T12:00:17+09:00,Skill.json|Skill_Indicator.json,2
001-jackie-active-1001210-2-1001212,1001212,1001210,1,Jackie,杰琪,,连斩,2,3,0,0,0,2.5,4,5,180,,Skill.json,2026-05-21T12:00:17+09:00,Skill.json|Skill_Indicator.json,2
001-jackie-active-1001210-3-1001213,1001213,1001210,1,Jackie,杰琪,,连斩,3,5,0,0,0,2.5,4,5,180,,Skill.json,2026-05-21T12:00:17+09:00,Skill.json|Skill_Indicator.json,2
001-jackie-active-1001210-4-1001214,1001214,1001210,1,Jackie,杰琪,,连斩,4,7,0,0,0,2.5,4,5,180,,Skill.json,2026-05-21T12:00:17+09:00,Skill.json|Skill_Indicator.json,2
001-jackie-active-1001210-5-1001215,1001215,1001210,1,Jackie,杰琪,,连斩,5,9,0,0,0,2.5,4,5,180,,Skill.json,2026-05-21T12:00:17+09:00,Skill.json|Skill_Indicator.json,2
