generatedAt,standardId,heroCode,heroKey,heroEnglishName,heroName,slot,skillGroup,skillId,skillNameFromGamedata,wikiSkillName,damagePartLabel,level,baseDamage,statSourceField,scalingText,descriptionDamageText,sourceType,sourceUrl,sourceTitle,sourceDate,gameVersion,language,confidence,notes
2026-05-21T23:44:28.746Z,jackie.p.bloodfest.bleeding_damage.lv1,1,Jackie,Jackie,杰琪,P,1001100,None,鲜血盛宴,Bloodfest,Bleeding Damage,1,10,stat1,(+25% Attack Power) | (+14% Attack Power) | (+15% Attack Power) | (+30% Attack Power),"If Jackie deals damage with basic attacks or skills, she makes her target Bleed |  Bleeding targets take 30(+25% Attack Power) damage over time for 6 seconds |  In this state, each time she deals damage with basic attacks or skills she applies Bleeding at max stacks, dealing 15(+14% Attack Power) aditional damage and healing for 10(+15% Attack Power) to 20(+30% Attack Power) based on her lost HP",wiki_current_snapshot,https://eternalreturn.fandom.com/wiki/Jackie,Jackie - Official Eternal Return Wiki,2025-11-02T15:27:02Z,,en,medium,Parsed from Official Eternal Return Wiki Skill template; values should be checked against official patch notes before merging into primary data.
2026-05-21T23:44:28.746Z,jackie.p.bloodfest.bleeding_damage.lv2,1,Jackie,Jackie,杰琪,P,1001100,None,鲜血盛宴,Bloodfest,Bleeding Damage,2,20,stat1,(+25% Attack Power) | (+14% Attack Power) | (+15% Attack Power) | (+30% Attack Power),"If Jackie deals damage with basic attacks or skills, she makes her target Bleed |  Bleeding targets take 30(+25% Attack Power) damage over time for 6 seconds |  In this state, each time she deals damage with basic attacks or skills she applies Bleeding at max stacks, dealing 15(+14% Attack Power) aditional damage and healing for 10(+15% Attack Power) to 20(+30% Attack Power) based on her lost HP",wiki_current_snapshot,https://eternalreturn.fandom.com/wiki/Jackie,Jackie - Official Eternal Return Wiki,2025-11-02T15:27:02Z,,en,medium,Parsed from Official Eternal Return Wiki Skill template; values should be checked against official patch notes before merging into primary data.
2026-05-21T23:44:28.746Z,jackie.p.bloodfest.bleeding_damage.lv3,1,Jackie,Jackie,杰琪,P,1001100,None,鲜血盛宴,Bloodfest,Bleeding Damage,3,30,stat1,(+25% Attack Power) | (+14% Attack Power) | (+15% Attack Power) | (+30% Attack Power),"If Jackie deals damage with basic attacks or skills, she makes her target Bleed |  Bleeding targets take 30(+25% Attack Power) damage over time for 6 seconds |  In this state, each time she deals damage with basic attacks or skills she applies Bleeding at max stacks, dealing 15(+14% Attack Power) aditional damage and healing for 10(+15% Attack Power) to 20(+30% Attack Power) based on her lost HP",wiki_current_snapshot,https://eternalreturn.fandom.com/wiki/Jackie,Jackie - Official Eternal Return Wiki,2025-11-02T15:27:02Z,,en,medium,Parsed from Official Eternal Return Wiki Skill template; values should be checked against official patch notes before merging into primary data.
2026-05-21T23:44:28.746Z,jackie.p.bloodfest.additional_damage_to_bleeding_targets.lv1,1,Jackie,Jackie,杰琪,P,1001100,None,鲜血盛宴,Bloodfest,Additional Damage to Bleeding Targets,1,10,stat2,(+25% Attack Power) | (+14% Attack Power) | (+15% Attack Power) | (+30% Attack Power),"If Jackie deals damage with basic attacks or skills, she makes her target Bleed |  Bleeding targets take 30(+25% Attack Power) damage over time for 6 seconds |  In this state, each time she deals damage with basic attacks or skills she applies Bleeding at max stacks, dealing 15(+14% Attack Power) aditional damage and healing for 10(+15% Attack Power) to 20(+30% Attack Power) based on her lost HP",wiki_current_snapshot,https://eternalreturn.fandom.com/wiki/Jackie,Jackie - Official Eternal Return Wiki,2025-11-02T15:27:02Z,,en,medium,Parsed from Official Eternal Return Wiki Skill template; values should be checked against official patch notes before merging into primary data.
2026-05-21T23:44:28.746Z,jackie.p.bloodfest.additional_damage_to_bleeding_targets.lv2,1,Jackie,Jackie,杰琪,P,1001100,None,鲜血盛宴,Bloodfest,Additional Damage to Bleeding Targets,2,25,stat2,(+25% Attack Power) | (+14% Attack Power) | (+15% Attack Power) | (+30% Attack Power),"If Jackie deals damage with basic attacks or skills, she makes her target Bleed |  Bleeding targets take 30(+25% Attack Power) damage over time for 6 seconds |  In this state, each time she deals damage with basic attacks or skills she applies Bleeding at max stacks, dealing 15(+14% Attack Power) aditional damage and healing for 10(+15% Attack Power) to 20(+30% Attack Power) based on her lost HP",wiki_current_snapshot,https://eternalreturn.fandom.com/wiki/Jackie,Jackie - Official Eternal Return Wiki,2025-11-02T15:27:02Z,,en,medium,Parsed from Official Eternal Return Wiki Skill template; values should be checked against official patch notes before merging into primary data.
2026-05-21T23:44:28.746Z,jackie.p.bloodfest.additional_damage_to_bleeding_targets.lv3,1,Jackie,Jackie,杰琪,P,1001100,None,鲜血盛宴,Bloodfest,Additional Damage to Bleeding Targets,3,40,stat2,(+25% Attack Power) | (+14% Attack Power) | (+15% Attack Power) | (+30% Attack Power),"If Jackie deals damage with basic attacks or skills, she makes her target Bleed |  Bleeding targets take 30(+25% Attack Power) damage over time for 6 seconds |  In this state, each time she deals damage with basic attacks or skills she applies Bleeding at max stacks, dealing 15(+14% Attack Power) aditional damage and healing for 10(+15% Attack Power) to 20(+30% Attack Power) based on her lost HP",wiki_current_snapshot,https://eternalreturn.fandom.com/wiki/Jackie,Jackie - Official Eternal Return Wiki,2025-11-02T15:27:02Z,,en,medium,Parsed from Official Eternal Return Wiki Skill template; values should be checked against official patch notes before merging into primary data.
2026-05-21T23:44:28.746Z,jackie.p.bloodfest.additional_damage_attack_power.lv1,1,Jackie,Jackie,杰琪,P,1001100,None,鲜血盛宴,Bloodfest,Additional Damage Attack Power,1,14%,stat3,(+25% Attack Power) | (+14% Attack Power) | (+15% Attack Power) | (+30% Attack Power),"If Jackie deals damage with basic attacks or skills, she makes her target Bleed |  Bleeding targets take 30(+25% Attack Power) damage over time for 6 seconds |  In this state, each time she deals damage with basic attacks or skills she applies Bleeding at max stacks, dealing 15(+14% Attack Power) aditional damage and healing for 10(+15% Attack Power) to 20(+30% Attack Power) based on her lost HP",wiki_current_snapshot,https://eternalreturn.fandom.com/wiki/Jackie,Jackie - Official Eternal Return Wiki,2025-11-02T15:27:02Z,,en,medium,Parsed from Official Eternal Return Wiki Skill template; values should be checked against official patch notes before merging into primary data.
2026-05-21T23:44:28.746Z,jackie.p.bloodfest.additional_damage_attack_power.lv2,1,Jackie,Jackie,杰琪,P,1001100,None,鲜血盛宴,Bloodfest,Additional Damage Attack Power,2,16%,stat3,(+25% Attack Power) | (+14% Attack Power) | (+15% Attack Power) | (+30% Attack Power),"If Jackie deals damage with basic attacks or skills, she makes her target Bleed |  Bleeding targets take 30(+25% Attack Power) damage over time for 6 seconds |  In this state, each time she deals damage with basic attacks or skills she applies Bleeding at max stacks, dealing 15(+14% Attack Power) aditional damage and healing for 10(+15% Attack Power) to 20(+30% Attack Power) based on her lost HP",wiki_current_snapshot,https://eternalreturn.fandom.com/wiki/Jackie,Jackie - Official Eternal Return Wiki,2025-11-02T15:27:02Z,,en,medium,Parsed from Official Eternal Return Wiki Skill template; values should be checked against official patch notes before merging into primary data.
2026-05-21T23:44:28.746Z,jackie.p.bloodfest.additional_damage_attack_power.lv3,1,Jackie,Jackie,杰琪,P,1001100,None,鲜血盛宴,Bloodfest,Additional Damage Attack Power,3,18%,stat3,(+25% Attack Power) | (+14% Attack Power) | (+15% Attack Power) | (+30% Attack Power),"If Jackie deals damage with basic attacks or skills, she makes her target Bleed |  Bleeding targets take 30(+25% Attack Power) damage over time for 6 seconds |  In this state, each time she deals damage with basic attacks or skills she applies Bleeding at max stacks, dealing 15(+14% Attack Power) aditional damage and healing for 10(+15% Attack Power) to 20(+30% Attack Power) based on her lost HP",wiki_current_snapshot,https://eternalreturn.fandom.com/wiki/Jackie,Jackie - Official Eternal Return Wiki,2025-11-02T15:27:02Z,,en,medium,Parsed from Official Eternal Return Wiki Skill template; values should be checked against official patch notes before merging into primary data.
2026-05-21T23:44:28.746Z,jackie.w.crippler.damage.lv1,1,Jackie,Jackie,杰琪,W,1001300,JackieActive2,断筋,Crippler,Damage,1,10,stat1,(+20% Extra Attack Power),"Jackie's next basic attack is enhanced, dealing 10(+20% Extra Attack Power) aditional skill damage and slowing targets by 60% for 0,85 seconds",wiki_current_snapshot,https://eternalreturn.fandom.com/wiki/Jackie,Jackie - Official Eternal Return Wiki,2025-11-02T15:27:02Z,,en,medium,Parsed from Official Eternal Return Wiki Skill template; values should be checked against official patch notes before merging into primary data.
2026-05-21T23:44:28.746Z,jackie.w.crippler.damage.lv2,1,Jackie,Jackie,杰琪,W,1001300,JackieActive2,断筋,Crippler,Damage,2,20,stat1,(+20% Extra Attack Power),"Jackie's next basic attack is enhanced, dealing 10(+20% Extra Attack Power) aditional skill damage and slowing targets by 60% for 0,85 seconds",wiki_current_snapshot,https://eternalreturn.fandom.com/wiki/Jackie,Jackie - Official Eternal Return Wiki,2025-11-02T15:27:02Z,,en,medium,Parsed from Official Eternal Return Wiki Skill template; values should be checked against official patch notes before merging into primary data.
2026-05-21T23:44:28.746Z,jackie.w.crippler.damage.lv3,1,Jackie,Jackie,杰琪,W,1001300,JackieActive2,断筋,Crippler,Damage,3,30,stat1,(+20% Extra Attack Power),"Jackie's next basic attack is enhanced, dealing 10(+20% Extra Attack Power) aditional skill damage and slowing targets by 60% for 0,85 seconds",wiki_current_snapshot,https://eternalreturn.fandom.com/wiki/Jackie,Jackie - Official Eternal Return Wiki,2025-11-02T15:27:02Z,,en,medium,Parsed from Official Eternal Return Wiki Skill template; values should be checked against official patch notes before merging into primary data.
2026-05-21T23:44:28.746Z,jackie.w.crippler.damage.lv4,1,Jackie,Jackie,杰琪,W,1001300,JackieActive2,断筋,Crippler,Damage,4,40,stat1,(+20% Extra Attack Power),"Jackie's next basic attack is enhanced, dealing 10(+20% Extra Attack Power) aditional skill damage and slowing targets by 60% for 0,85 seconds",wiki_current_snapshot,https://eternalreturn.fandom.com/wiki/Jackie,Jackie - Official Eternal Return Wiki,2025-11-02T15:27:02Z,,en,medium,Parsed from Official Eternal Return Wiki Skill template; values should be checked against official patch notes before merging into primary data.
2026-05-21T23:44:28.746Z,jackie.w.crippler.damage.lv5,1,Jackie,Jackie,杰琪,W,1001300,JackieActive2,断筋,Crippler,Damage,5,50,stat1,(+20% Extra Attack Power),"Jackie's next basic attack is enhanced, dealing 10(+20% Extra Attack Power) aditional skill damage and slowing targets by 60% for 0,85 seconds",wiki_current_snapshot,https://eternalreturn.fandom.com/wiki/Jackie,Jackie - Official Eternal Return Wiki,2025-11-02T15:27:02Z,,en,medium,Parsed from Official Eternal Return Wiki Skill template; values should be checked against official patch notes before merging into primary data.
2026-05-21T23:44:28.746Z,aya.p.ayas_justice.description_damage.raw,2,Aya,Aya,阿雅,P,1002100,None,阿雅之正义,Aya's Justice,Description Damage,,,description,(+30% Skill Amp) | (+50% Attack Power),"When Aya is attacked, she gains a shield that blocks 50(+50% Attack Power)(+30% Skill Amp) damage for 1",wiki_current_snapshot,https://eternalreturn.fandom.com/wiki/Aya,Aya - Official Eternal Return Wiki,2026-03-29T18:53:58Z,,en,low,"Damage text was found only in the description, not a per-level wiki stat field."
2026-05-21T23:44:28.746Z,fiora.p.touche.damage.lv1,3,Fiora,Fiora,菲欧娜,P,1003100,None,刺击,Touché,Damage,1,20,stat1,(+40% Skill Amp),"Every time Fiora damages an enemy with a skill, she applies a stack of Touché to her enemy |  When enemies with 4 stacks of Touché are hit by a skill, they take additional 20(+40% Skill Amp) skill damage and Fiora's movement speed briefly increases by 15% for 2 seconds before slowing her",wiki_current_snapshot,https://eternalreturn.fandom.com/wiki/Fiora,Fiora - Official Eternal Return Wiki,2025-09-30T15:15:02Z,,en,medium,Parsed from Official Eternal Return Wiki Skill template; values should be checked against official patch notes before merging into primary data.
